#node	date	numeric date
NODE_0000387	-137055163-02-11	-137055162.886431
NODE_0000388	-132245853-11-04	-132245852.157458
NODE_0000389	-132010255-07-23	-132010254.442928
GMFIL015-12|Platystomos_albinus|Anthribidae|Finland|Northern_Ostrobothnia|BIOUG_OULU	-131997976-01-01	-131997976.000000
GBDL00527	-131997976-01-01	-131997976.000000
NODE_0000390	-132050143-10-08	-132050142.230609
GMBMJ002-17|Anthribinae|Anthribidae|Belarus|Minskaya_Voblasts|	-131997976-01-01	-131997976.000000
GMGMH1558-14|Anthribus_albinus|Anthribidae|Germany|Rhineland-Palatinate|BIOUG_GERMANY	-131997976-01-01	-131997976.000000
NODE_0000391	-135790532-07-31	-135790531.420765
NODE_0000392	-134994766-01-14	-134994765.962422
GMAAN086-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
NODE_0000393	-134741249-02-04	-134741248.904792
JICBD200-16|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
GBDL00547	-131997976-01-01	-131997976.000000
NODE_0000394	-133263943-06-20	-133263942.533759
NODE_0000395	-132388891-07-13	-132388890.470370
GMCDT1097-17|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|	-131997976-01-01	-131997976.000000
BIOD00763	-131997976-01-01	-131997976.000000
NODE_0000396	-132520346-01-06	-132520345.984961
GMACN048-15|Anthribidae|Anthribidae|Costa_Rica|Guanacaste|BIOUG_ACG	-131997976-01-01	-131997976.000000
BIOD03249	-131997976-01-01	-131997976.000000
NODE_0000397	-136394466-09-17	-136394465.288647
NODE_0000398	-134434084-12-25	-134434083.016835
GMGAK147-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
NODE_0000399	-132081660-04-04	-132081659.742514
GMGGB995-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
GMGGC048-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
NODE_0000400	-135969306-05-16	-135969305.627761
NODE_0000241	-135969306-05-16	-135969305.627761
NODE_0000403	-134735524-05-21	-134735523.614113
GMKMF540-15|Anthribidae|Anthribidae|Kenya|Laikipia|BIOUG_KENYA2	-131997976-01-01	-131997976.000000
GMMDN1444-15|Anthribidae|Anthribidae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-131997976-01-01	-131997976.000000
NODE_0000401	-133362117-12-02	-133362116.081993
GMNGC085-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
BIOD08713	-131997976-01-01	-131997976.000000
NODE_0000404	-135770387-11-22	-135770386.108762
NODE_0000255	-135770387-11-22	-135770386.108762
NODE_0000407	-134877008-12-24	-134877007.021599
GMGAQ011-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
GMKMX1580-15|Anthribidae|Anthribidae|Kenya|Laikipia|BIOUG_KENYA2	-131997976-01-01	-131997976.000000
NODE_0000405	-132049404-09-10	-132049403.307551
GMGGB027-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
BIOD04812	-131997976-01-01	-131997976.000000
NODE_0000408	-135163409-04-09	-135163408.729863
NODE_0000409	-132051193-10-12	-132051192.219939
GMGAH119-17|Anthribidae|Anthribidae|Gabon|Moyen-Ogooue|	-131997976-01-01	-131997976.000000
NODE_0000162	-132010255-07-23	-132010254.442928
BIOD04710	-131997976-01-01	-131997976.000000
BIOD08176	-131997976-01-01	-131997976.000000
NODE_0000411	-134857355-07-25	-134857354.437916
NODE_0000412	-132010255-07-23	-132010254.442928
GMBCC1766-15|Anthribidae|Anthribidae|Bangladesh|Chittagong|BIOUG_BANGLADESH	-131997976-01-01	-131997976.000000
GMMGK001-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000413	-132132611-12-01	-132132610.083251
BIOD05980	-131997976-01-01	-131997976.000000
BIOD05613	-131997976-01-01	-131997976.000000
NODE_0000268	-138965245-06-28	-138965244.512166
NODE_0000334	-138765494-09-19	-138765493.283647
NODE_0000335	-135914148-07-31	-135914147.420688
GMNGL030-16|Anthribidae|Anthribidae|Papua_New_Guinea|Madang|	-131997976-01-01	-131997976.000000
GMMBG027-16|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
NODE_0000336	-138590927-12-31	-138590926.002497
NODE_0000352	-138475848-05-09	-138475847.646643
NODE_0000353	-137680973-10-21	-137680972.195537
NODE_0000354	-133879323-05-16	-133879322.628508
GMMBS393-17|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
GMMGT098-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000355	-137069369-09-15	-137069368.294016
NODE_0000285	-137069369-09-15	-137069368.294016
GMMGL151-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
GMMBL115-16|Anthribidae|Anthribidae|Malaysia|Selangor|	-131997976-01-01	-131997976.000000
NODE_0000357	-135708064-09-08	-135708063.313282
GMMGT1597-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
NODE_0000358	-134137532-07-09	-134137531.480716
GMMGN1434-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
GMMGB090-14|Anthribidae|Anthribidae|Malaysia|Selangor|BIOUG_GOMBAK	-131997976-01-01	-131997976.000000
