,Branch length stretch,Local substitution rate,date,numdate
NODE_0000007,0.9999806394986085,1.0000003327893043,,-155229735.04223046
NODE_0000008,0.9999700049314917,1.000000316015156,,-156121183.76367876
NODE_0000009,0.999750377766162,1.000296071449587,,-155638932.3467132
NODE_0000010,0.9996980282182385,1.0002953939590877,,-155321431.74685928
NODE_0000011,0.9997519267869392,1.0002959704780612,,-159171800.20521933
NODE_0000012,0.9999809110501503,1.0000003277771805,,-156621726.80505902
NODE_0000013,0.9997571052835493,1.0002964408526058,,-159661571.2619688
NODE_0000014,0.9997672104262556,1.0002962313819692,,-159082751.13876623
NODE_0000015,0.9999643004239248,1.000000126496216,,-157719221.93172157
NODE_0000016,0.9999787834908593,1.000026299922947,,-160178276.9017853
NODE_0000017,0.9980023650238105,1.0024937678726054,,-160104671.22972995
NODE_0000018,0.9999708568912522,1.0000018502736452,,-158434371.2544538
NODE_0000019,0.9999521129225131,1.0000023198324572,,-159088179.4341376
NODE_0000020,0.7737800612139376,1.1544489480403515,,-162472627.93560642
NODE_0000022,0.9999904879826411,1.0000112859685661,,-157355029.04891324
NODE_0000023,0.6850544629702855,1.4526068048793626,,-164377792.0591234
NODE_0000024,0.6131515856090916,1.3328092040192052,,-163648485.089999
NODE_0000025,0.6852634145025684,1.4583047030075689,,-164468515.76064068
NODE_0000026,0.6852141799475112,1.4573826089768778,,-165000764.33325315
NODE_0000028,0.6841564992994649,1.4217424344931993,,-164980915.45290315
NODE_0000029,0.6852817955401775,1.458390613417826,,-164050457.42641297
NODE_0000030,0.9999842458231792,0.8975973535397026,,-160960585.69673705
NODE_0000031,0.9999911928293388,0.9999931387931923,,-155433416.3446599
NODE_0000032,0.9999899805088805,0.9999921461777586,,-156102188.78196472
NODE_0000033,0.9997346403683361,1.0002956535292336,,-155685011.4165651
NODE_0000034,0.9997533255470795,1.0002956169694066,,-155188245.8099769
NODE_0000036,0.9997694856499592,1.0006141484499222,,-163455535.0651473
NODE_0000037,0.9999942390512149,1.0000000335545844,,-155005733.85008055
NODE_0000038,0.9999764191191656,1.000000223095169,,-161391235.39258164
NODE_0000040,0.9999911566846313,1.0000000000188618,,-155886657.0791143
NODE_0000041,0.9997885069548544,1.0002965810161075,,-160616023.7752878
NODE_0000042,0.9999830957473173,1.0000001167078036,,-157736373.8722922
NODE_0000043,0.9997743914402631,1.0002960630143145,,-157103489.54275587
NODE_0000044,0.9997755580710835,1.0002963705227403,,-159973387.8598758
NODE_0000045,0.9999895598014112,1.000000035712758,,-155310771.16263637
NODE_0000046,0.6852447739223955,1.45806610317737,,-164609761.68071708
NODE_0000047,0.6852709789120516,1.4580985800312236,,-163963729.15263373
NODE_0000048,0.9999732209876767,1.0000965968784785,,-162145967.97774976
NODE_0000049,0.9999858330813366,1.00000001058416,,-158709902.3091419
NODE_0000050,0.9999673272184438,1.0000000251969745,,-160656117.4146524
NODE_0000052,0.9999967873639276,1.0000000000006173,,-145503764.33242512
NODE_0000053,0.9999693794774757,1.0000004086021173,,-159066410.31991065
NODE_0000054,0.9999857436404104,1.0000000000602898,,-155651901.99545908
NODE_0000055,0.9999870418923925,1.0000000000000073,,-151895294.69078526
NODE_0000056,0.998796750766875,1.0011160077165562,,-158986537.8142359
NODE_0000057,0.9999786983011468,1.0000003546411174,,-156701362.53927344
NODE_0000058,0.9999726061473835,1.0000000001023654,,-154924401.1291866
NODE_0000059,0.9999875604580546,1.0000002043904477,,-155073327.25151244
NODE_0000061,0.9999736847113342,1.0000948620373498,,-162113934.83363688
NODE_0000062,0.9999678629735186,1.0000002508939245,,-160599246.22025293
NODE_0000063,0.9997760339970332,1.0002960979157265,,-159952545.31370357
NODE_0000065,0.999981616999273,1.000000063591966,,-157304541.41397354
NODE_0000066,0.9999693857469232,1.0000000000205562,,-155714508.7555028
NODE_0000067,0.9999868161466308,1.0000002221226922,,-153612258.94232148
NODE_0000068,0.9989552605363077,1.0011544390662024,,-153504225.6495829
NODE_0000069,0.9997911734386045,1.000297064700099,,-159142940.55715787
NODE_0000070,0.9997936961425595,1.000296663967951,,-158297864.89874938
NODE_0000071,0.9999609556696475,1.0000002783901825,,-157051147.3497913
NODE_0000072,0.9997606433739757,1.000297452835477,,-158606062.6787707
NODE_0000073,0.9989072402656368,1.001136966140759,,-158508453.9232634
NODE_0000074,0.999961840822313,1.0000005229004014,,-157232815.98039478
NODE_0000076,0.9999783179880568,1.0000000756383345,,-156360971.34923023
NODE_0000077,0.9999674635290972,1.000000113668888,,-154864878.8940843
NODE_0000078,0.9996422636884621,1.000292921122113,,-154632099.29213366
NODE_0000079,0.9999644731547934,1.00000112053474,,-153261940.39446184
NODE_0000081,0.999129662467134,1.001166588216036,,-153085475.59831893
NODE_0000083,0.9999929729638748,1.0000000949227457,,-153671886.0152804
NODE_0000084,0.9997993285590348,1.000296752104514,,-159662543.00183383
NODE_0000085,0.9997779736997453,1.0002966841355434,,-158998728.70925584
NODE_0000086,0.9997820289022415,1.00029673380011,,-158296039.39967707
NODE_0000087,0.9999791691385915,1.000000358854566,,-155959211.48365268
NODE_0000088,0.9997209977564274,1.0002964583510443,,-157922552.5358656
NODE_0000089,0.9997392554632744,1.0002974459663927,,-157488186.4812045
NODE_0000090,0.9999848160645954,1.0000001569104469,,-154282271.0156334
NODE_0000091,0.99893480493722,1.00114361927354,,-157384854.0791254
NODE_0000092,0.99996900483617,1.0000004229876618,,-155814362.5040086
NODE_0000093,0.9999818664650355,1.0000001255599567,,-156978109.44527894
NODE_0000094,0.999990532868355,1.0000000323866725,,-151836246.68720257
NODE_0000095,0.999791870935686,1.0002966346854751,,-156158998.7251191
NODE_0000096,0.9999531278858602,1.0000001688509663,,-155120494.87946826
NODE_0000097,0.9997830495875585,1.0002964932287213,,-155445796.73036098
NODE_0000098,0.9999906058205092,1.0000001897748858,,-150264003.55408716
NODE_0000099,0.9990703672115614,1.0011566200576962,,-150118805.21864432
NODE_0000101,0.0,1.0002313240115392,,-150118805.21864432
NODE_0000103,0.9999820789006039,1.0000000132638653,,-159397679.59601057
NODE_0000104,0.9999759806630142,1.0000000836899752,,-157371063.15482512
NODE_0000105,0.9997724864396943,1.0002960236361294,,-156753481.5101366
NODE_0000106,0.9999863405654408,1.0000000938788365,,-153189755.1097395
NODE_0000108,0.9999820055885712,1.0000000000304532,,-154665874.5620916
