#node	date	numeric date
GMMDJ1559-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
GMMDK2951-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
NODE_0000077	-138360680-05-23	-138360679.610757
GMCWN610-15|Cleridae|Cleridae|Australia|Western_Australia|BIOUG_AUSCB	-133997976-01-01	-133997976.000000
NODE_0000078	-134845194-01-04	-134845193.990676
GMMDB084-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
GMMDL253-15|Cleridae|Cleridae|Madagascar|Toamasina|BIOUG_MADAGASACAR	-133997976-01-01	-133997976.000000
NODE_0000079	-141677939-08-17	-141677938.373426
NODE_0000080	-140055548-10-05	-140055547.239692
JICBJ145-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000081	-134206409-11-09	-134206408.142942
BIOD07436	-133997976-01-01	-133997976.000000
BIOD06082	-133997976-01-01	-133997976.000000
NODE_0000082	-136106997-06-16	-136106996.542906
JICED030-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000083	-135403224-02-03	-135403223.908426
NODE_0000084	-134208516-01-14	-134208515.962864
JIEEK003-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JICBD108-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000085	-135154518-03-21	-135154517.782508
GMHGK452-13|Cleridae|Cleridae|Honduras|Cortes|BIOUG_CUSU-NP_2	-133997976-01-01	-133997976.000000
NODE_0000086	-135048751-10-21	-135048750.195455
GMHMH009-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
NODE_0000087	-134636211-07-29	-134636210.426980
JICBR009-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000088	-134021370-09-02	-134021369.329207
JICFC024-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JIEEH086-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000014	-144675315-09-08	-144675314.313904
NODE_0000291	-144675315-09-08	-144675314.313904
NODE_0000295	-144675315-09-08	-144675314.313904
NODE_0000296	-144675315-09-08	-144675314.313904
BIOD01934	-133997976-01-01	-133997976.000000
NODE_0000046	-140402415-09-25	-140402414.266782
GMMGH689-14|Cleridae|Cleridae|Malaysia|Selangor|BIOUG_GOMBAK	-133997976-01-01	-133997976.000000
NODE_0000047	-134021370-09-02	-134021369.329207
GBDL02979	-133997976-01-01	-133997976.000000
GBDL03145	-133997976-01-01	-133997976.000000
NODE_0000048	-141155510-03-11	-141155509.808488
NODE_0000050	-134021370-09-02	-134021369.329207
GMKMW1953-15|Cleridae|Cleridae|Kenya|Laikipia|BIOUG_KENYA2	-133997976-01-01	-133997976.000000
GMKMX1582-15|Cleridae|Cleridae|Kenya|Laikipia|BIOUG_KENYA2	-133997976-01-01	-133997976.000000
NODE_0000307	-141155510-03-11	-141155509.808488
GBDL02992	-133997976-01-01	-133997976.000000
GMGAN205-17|Cleridae|Cleridae|Gabon|Moyen-Ogooue|	-133997976-01-01	-133997976.000000
NODE_0000001	-142922193-08-25	-142922192.352367
NODE_0000000	-134399610-09-02	-134399609.330869
AGAKN766-17|Isohydnocera_curtipennis|Cleridae|Canada|Ontario|	-133997976-01-01	-133997976.000000
AGAKL2343-17|Isohydnocera_tabida|Cleridae|Canada|Ontario|	-133997976-01-01	-133997976.000000
NODE_0000002	-140367093-02-07	-140367092.898453
NODE_0000003	-138656629-05-31	-138656628.588957
CCCP00052	-133997976-01-01	-133997976.000000
NODE_0000004	-137651084-03-16	-137651083.796358
BIOD03375	-133997976-01-01	-133997976.000000
NODE_0000005	-134021370-09-02	-134021369.329207
BIOD05970	-133997976-01-01	-133997976.000000
BIOD07150	-133997976-01-01	-133997976.000000
NODE_0000006	-139081062-08-20	-139081061.365642
BIOD06477	-133997976-01-01	-133997976.000000
NODE_0000007	-138129833-02-14	-138129832.879329
NODE_0000009	-135756096-08-26	-135756095.348059
GMCCM513-18|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000318	-135756096-08-26	-135756095.348059
GMAAU429-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
GMHMF158-15|Cleridae|Cleridae|Honduras|Cortes|	-133997976-01-01	-133997976.000000
NODE_0000321	-138129833-02-14	-138129832.879329
GMABQ018-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000011	-134914963-10-29	-134914962.172650
JICCY247-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000012	-134021370-09-02	-134021369.329207
GMCVV134-15|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000013	-134021370-09-02	-134021369.329207
JICFQ044-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
JIAAQ039-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000015	-144412758-09-03	-144412757.327715
NODE_0000016	-142091595-11-26	-142091594.098435
NODE_0000017	-137471738-04-24	-137471737.688170
JIDDW111-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000018	-134208324-03-15	-134208323.798171
GMACX222-15|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
NODE_0000342	-134208324-03-15	-134208323.798171
GMACL440-15|Cleridae|Cleridae|Costa_Rica|Guanacaste|BIOUG_ACG	-133997976-01-01	-133997976.000000
JICFE046-16|Cleridae|Cleridae|Costa_Rica|Guanacaste|	-133997976-01-01	-133997976.000000
NODE_0000020	-141151925-04-23	-141151924.691438
NODE_0000021	-139245141-05-13	-139245140.636111
